n,location_type,layer_idx,intervention_type,alpha,acc_baseline,acc_hint,acc_baseline_int,acc_hint_int,mean_delta_baseline,mean_delta_hint,mean_delta_baseline_int,mean_delta_hint_int,mean_E_hint,mean_baseline_damage,mean_hint_damage,mean_DD,mean_DD_ratio,std_DD
633,q_layer,0,ablation,,0.01579778830963665,0.9921011058451816,0.01579778830963665,0.9873617693522907,-1.3637101352685623,3.9796243572687087,-0.8556909063981043,3.1477104777596763,5.343334492537271,-0.5080192288704581,0.8319138795090324,1.3399331083794905,0.21327652696179794,1.202696177635492
633,q_layer,20,ablation,,0.01579778830963665,0.9921011058451816,0.0,0.9921011058451816,-1.3637101352685623,3.9796243572687087,-1.3773904954087677,3.9447319247711325,5.343334492537271,0.01368036014020537,0.03489243249757595,0.02121207235737058,0.0003974018591210533,0.18505966402024193
633,q_layer,21,ablation,,0.01579778830963665,0.9921011058451816,0.0,0.990521327014218,-1.3637101352685623,3.9796243572687087,-1.3897656867101107,3.898620577596752,5.343334492537271,0.026055551441548183,0.08100377967195677,0.05494822823040858,0.010896159696390078,0.20690376025620666
633,attention,0,ablation,,0.01579778830963665,0.9921011058451816,0.07424960505529225,0.9731437598736177,-1.3637101352685623,3.9796243572687087,-0.9579353031200631,2.6816435417669457,5.343334492537271,-0.4057748321484992,1.297980815501763,1.7037556476502622,0.30614667367383047,1.3569771898867704
633,attention,20,ablation,,0.01579778830963665,0.9921011058451816,0.0,0.9921011058451816,-1.3637101352685623,3.9796243572687087,-1.346735226599526,4.001754763755376,5.343334492537271,-0.016974908669036334,-0.022130406486667916,-0.005155497817631582,-0.006921869268866275,0.14379130090865855
633,attention,21,ablation,,0.01579778830963665,0.9921011058451816,0.014218009478672985,0.9826224328593997,-1.3637101352685623,3.9796243572687087,-1.3676318127962086,3.864182451136681,5.343334492537271,0.003921677527646129,0.11544190613202762,0.11152022860438149,0.027361038206980288,0.19953673520671064
633,mlp,1,ablation,,0.01579778830963665,0.9921011058451816,0.0315955766192733,0.990521327014218,-1.3637101352685623,3.9796243572687087,-1.3193799059537914,3.635837425364514,5.343334492537271,-0.04433022931477093,0.3437869319041947,0.3881171612189656,0.060312821120476166,0.627225691886601
633,mlp,8,ablation,,0.01579778830963665,0.9921011058451816,0.0315955766192733,0.995260663507109,-1.3637101352685623,3.9796243572687087,-1.2722202680687205,3.8532522376303047,5.343334492537271,-0.09148986719984202,0.12637211963840383,0.21786198683824584,0.021916512466059114,0.4365613267138027
633,mlp,9,ablation,,0.01579778830963665,0.9921011058451816,0.01579778830963665,0.9889415481832543,-1.3637101352685623,3.9796243572687087,-1.3116183167950237,3.5510031954748746,5.343334492537271,-0.052091818473538706,0.42862116179383386,0.4807129802673726,0.08615123882699684,0.39632430984811423
633,mlp,11,ablation,,0.01579778830963665,0.9921011058451816,0.04739336492890995,0.995260663507109,-1.3637101352685623,3.9796243572687087,-1.3643665765699051,4.560023614392273,5.343334492537271,0.000656441301342812,-0.5803992571235644,-0.5810556984249072,-0.1388902157658769,0.45939018393861897
